Lat, Lon
7.400797, 93.670263
7.403631, 93.667652
7.405958, 93.666162
7.410269, 93.667974
7.410912, 93.670618
7.406422, 93.673090
7.403933, 93.675058
7.402109, 93.675219
7.399759, 93.676704
NaN, NaN
7.405638, 93.705921
7.402475, 93.706236
7.396814, 93.710018
7.390789, 93.717758
7.384762, 93.725525
7.381388, 93.734415
7.374739, 93.736053
7.367426, 93.738844
7.362099, 93.740145
7.358976, 93.737682
7.357838, 93.734198
7.352194, 93.731396
7.347748, 93.726276
7.343636, 93.722324
7.336004, 93.720980
7.325235, 93.716352
7.317814, 93.710745
7.311699, 93.707262
7.308558, 93.704454
7.306791, 93.695562
7.306162, 93.690121
7.303024, 93.686665
7.294718, 93.676916
7.291245, 93.672283
7.286482, 93.666185
7.284153, 93.664312
7.275074, 93.658524
7.267952, 93.656059
7.261831, 93.653566
7.258184, 93.651438
7.253899, 93.645817
7.251289, 93.640898
7.246326, 93.638905
7.243687, 93.635269
7.244873, 93.630327
7.253851, 93.625078
7.263329, 93.620144
7.265999, 93.617847
7.266361, 93.614367
7.269184, 93.613220
7.273146, 93.615709
7.276609, 93.618166
7.278929, 93.618168
7.280283, 93.615374
7.281765, 93.614561
7.286064, 93.618176
7.289534, 93.619511
7.295013, 93.619173
7.304340, 93.612839
7.308182, 93.608547
7.310667, 93.606901
7.313963, 93.611193
7.315777, 93.616478
7.320238, 93.619286
7.326868, 93.620602
7.338148, 93.619301
7.346800, 93.616663
7.360584, 93.615175
7.368380, 93.615866
7.375010, 93.617184
7.375982, 93.622122
7.376631, 93.624430
7.373451, 93.628386
7.371260, 93.633827
7.370743, 93.637123
7.372730, 93.639450
7.378012, 93.642414
7.382814, 93.645555
7.384945, 93.650661
7.382282, 93.651316
7.378456, 93.652645
7.377281, 93.655262
7.376940, 93.659555
7.378071, 93.664501
7.382544, 93.665346
7.386179, 93.666004
7.390553, 93.672598
7.390373, 93.676058
7.390354, 93.679358
7.392811, 93.683310
7.393431, 93.690090
7.393414, 93.693052
7.390766, 93.694853
7.387625, 93.691395
7.384796, 93.692881
7.383770, 93.697174
7.382936, 93.699793
7.385567, 93.701284
7.397190, 93.700151
7.402676, 93.699347
7.403540, 93.695704
7.402225, 93.690424
7.407045, 93.690762
7.424643, 93.691284
7.441093, 93.689655
7.444391, 93.693588
7.445221, 93.695421
7.442369, 93.697226
7.435053, 93.699675
7.429388, 93.704145
7.420424, 93.705284
7.405638, 93.705921
NaN, NaN
7.472082, 93.634905
7.469925, 93.634155
7.471512, 93.631107
7.473522, 93.629297
7.476845, 93.629393
7.477591, 93.629866
7.477552, 93.630371
7.477322, 93.633354
7.474722, 93.634567
7.472082, 93.634905
NaN, NaN
7.477545, 93.621300
7.475548, 93.620459
7.475811, 93.618156
7.476477, 93.616848
7.479807, 93.615290
7.482878, 93.615356
7.483799, 93.617256
7.482122, 93.620558
7.479774, 93.621208
7.477545, 93.621300
NaN, NaN
7.515144, 93.531137
7.511995, 93.528332
7.512690, 93.525866
7.518349, 93.521732
7.524652, 93.521395
7.526968, 93.522730
7.524963, 93.528173
7.521782, 93.532448
7.518301, 93.532446
7.515144, 93.531137
NaN, NaN
8.006208, 93.404276
8.003565, 93.403669
8.000540, 93.401445
7.993435, 93.398619
7.989586, 93.397820
7.985937, 93.398035
7.978228, 93.398827
7.973356, 93.397224
7.967680, 93.397022
7.965851, 93.398838
7.963398, 93.402088
7.961353, 93.405722
7.957901, 93.408354
7.955044, 93.410374
7.954620, 93.414413
7.956457, 93.417019
7.959068, 93.419645
7.961704, 93.421459
7.963112, 93.422861
7.962898, 93.425497
7.960272, 93.426310
7.956408, 93.429331
7.952938, 93.430738
7.948662, 93.433577
7.945406, 93.438610
7.941530, 93.444084
7.937244, 93.449936
7.933172, 93.453562
7.928898, 93.456375
7.924625, 93.458599
7.920361, 93.459419
7.917332, 93.458807
7.914097, 93.458397
7.910835, 93.459225
7.906979, 93.459837
7.900269, 93.462439
7.893375, 93.464666
7.887495, 93.464870
7.883245, 93.462275
7.880016, 93.459848
7.874949, 93.457014
7.872131, 93.454996
7.871122, 93.451366
7.871954, 93.448357
7.872961, 93.446928
7.876829, 93.442896
7.882116, 93.442684
7.886972, 93.442684
7.891048, 93.437447
7.895739, 93.432995
7.900021, 93.428164
7.902664, 93.422520
7.903713, 93.416645
7.902121, 93.409386
7.900330, 93.401728
7.898724, 93.391638
7.897932, 93.389626
7.896114, 93.388630
7.894291, 93.388626
7.892471, 93.387611
7.889435, 93.383371
7.886799, 93.380362
7.884789, 93.375921
7.883595, 93.371885
7.883404, 93.367853
7.885450, 93.362999
7.885046, 93.361187
7.884850, 93.358377
7.884476, 93.354542
7.886515, 93.351301
7.890175, 93.347466
7.892618, 93.346052
7.895870, 93.341198
7.897905, 93.339182
7.900934, 93.339788
7.904600, 93.340603
7.907225, 93.339985
7.910875, 93.338955
7.915136, 93.338776
7.918398, 93.338356
7.920414, 93.341782
7.924257, 93.344997
7.927485, 93.347626
7.930702, 93.353264
7.931921, 93.356508
7.936979, 93.356892
7.947536, 93.356293
7.955856, 93.356276
7.956684, 93.354458
7.954847, 93.351631
7.955475, 93.348612
7.955278, 93.345570
7.953875, 93.343149
7.951847, 93.342155
7.949621, 93.339931
7.948812, 93.336102
7.948233, 93.332266
7.946003, 93.331253
7.944387, 93.330257
7.941534, 93.331457
7.940117, 93.332485
7.941523, 93.334709
7.940729, 93.340738
7.941557, 93.345301
7.939886, 93.346979
7.935692, 93.346548
7.932352, 93.343649
7.926506, 93.340328
7.924414, 93.339077
7.921103, 93.334093
7.924437, 93.332031
7.926123, 93.332026
7.930737, 93.329523
7.932016, 93.328053
7.930607, 93.326849
7.927967, 93.326035
7.925117, 93.326036
7.922495, 93.325638
7.921270, 93.324430
7.921276, 93.322218
7.923107, 93.319784
7.924549, 93.317966
7.925764, 93.316154
7.927797, 93.314747
7.929829, 93.314125
7.934887, 93.314123
7.937531, 93.313915
7.940977, 93.312910
7.942623, 93.310886
7.944250, 93.308863
7.947290, 93.306232
7.953381, 93.304613
7.957851, 93.303785
7.959471, 93.304195
7.961906, 93.305393
7.964134, 93.307205
7.965542, 93.308838
7.966951, 93.310244
7.969179, 93.312664
7.972431, 93.314678
7.974045, 93.316290
7.976484, 93.316898
7.978510, 93.317484
7.981133, 93.317274
7.983780, 93.316683
7.988045, 93.316065
7.992720, 93.315645
7.994328, 93.319075
7.995939, 93.322109
7.998167, 93.324326
8.000801, 93.326935
8.003414, 93.329765
8.005852, 93.331169
8.009892, 93.336634
8.010880, 93.341061
8.010683, 93.344900
8.009441, 93.348553
8.007198, 93.350748
8.005566, 93.354610
8.006973, 93.356808
8.008989, 93.359850
8.011415, 93.363882
8.014055, 93.365902
8.015871, 93.368536
8.017887, 93.372158
8.017258, 93.375996
8.016439, 93.381033
8.016018, 93.384281
8.014380, 93.389519
8.012127, 93.394558
8.009464, 93.399212
8.006208, 93.404276
NaN, NaN
8.015196, 93.561195
8.011585, 93.562672
8.007177, 93.564121
8.001146, 93.566387
7.998194, 93.568634
7.996174, 93.571312
7.994022, 93.573278
7.991220, 93.572622
7.988281, 93.572350
7.984814, 93.572233
7.982012, 93.571823
7.976797, 93.571026
7.968903, 93.572342
7.961834, 93.571953
7.959169, 93.571815
7.955160, 93.571154
7.944466, 93.571674
7.937653, 93.571012
7.932848, 93.569944
7.927628, 93.570221
7.925241, 93.568604
7.925640, 93.566355
7.926992, 93.565153
7.928732, 93.563574
7.930614, 93.561165
7.932907, 93.558107
7.935589, 93.555071
7.937084, 93.552147
7.939623, 93.550146
7.941637, 93.549080
7.944036, 93.547501
7.947130, 93.543894
7.949015, 93.540966
7.951033, 93.538586
7.953720, 93.534071
7.958548, 93.530609
7.960566, 93.527681
7.962589, 93.524092
7.964748, 93.520788
7.966494, 93.518106
7.970669, 93.512003
7.972956, 93.510662
7.977505, 93.507875
7.980053, 93.504290
7.983141, 93.502157
7.985813, 93.500822
7.988754, 93.500824
7.990612, 93.503746
7.990072, 93.506948
7.988716, 93.509212
7.988840, 93.511868
